,STATION,LAT,LON,ELEV,DATE,PRCP,TMAX,TMIN,SNOW,SNWD
589554,USC00447338,36.9769,-79.8961,400.8,731092,0,328,194,0,0
589659,USC00447338,36.9769,-79.8961,400.8,731093,0,328,194,0,0
589764,USC00447338,36.9769,-79.8961,400.8,731094,3,233,161,0,0
589869,USC00447338,36.9769,-79.8961,400.8,731095,3,233,161,0,0
589974,USC00447338,36.9769,-79.8961,400.8,731096,3,233,161,0,0
590079,USC00447338,36.9769,-79.8961,400.8,731097,3,233,161,0,0
590184,USC00447338,36.9769,-79.8961,400.8,731098,3,233,161,0,0
590289,USC00447338,36.9769,-79.8961,400.8,731099,3,233,161,0,0
590394,USC00447338,36.9769,-79.8961,400.8,731100,3,233,161,0,0
590499,USC00447338,36.9769,-79.8961,400.8,731101,3,233,161,0,0
590604,USC00447338,36.9769,-79.8961,400.8,731102,3,233,161,0,0
590709,USC00447338,36.9769,-79.8961,400.8,731103,3,233,161,0,0
590814,USC00447338,36.9769,-79.8961,400.8,731104,3,233,161,0,0
590919,USC00447338,36.9769,-79.8961,400.8,731105,3,233,161,0,0
591024,USC00447338,36.9769,-79.8961,400.8,731106,3,233,161,0,0
591129,USC00447338,36.9769,-79.8961,400.8,731107,3,233,161,0,0
591234,USC00447338,36.9769,-79.8961,400.8,731108,3,233,161,0,0
591339,USC00447338,36.9769,-79.8961,400.8,731109,3,233,161,0,0
591444,USC00447338,36.9769,-79.8961,400.8,731110,3,233,161,0,0
591549,USC00447338,36.9769,-79.8961,400.8,731111,3,233,161,0,0
591654,USC00447338,36.9769,-79.8961,400.8,731112,3,233,161,0,0
591759,USC00447338,36.9769,-79.8961,400.8,731113,3,233,161,0,0
591864,USC00447338,36.9769,-79.8961,400.8,731114,3,233,161,0,0
591969,USC00447338,36.9769,-79.8961,400.8,731115,3,233,161,0,0
592074,USC00447338,36.9769,-79.8961,400.8,731116,3,233,161,0,0
592179,USC00447338,36.9769,-79.8961,400.8,731117,3,233,161,0,0
592284,USC00447338,36.9769,-79.8961,400.8,731118,3,233,161,0,0
592389,USC00447338,36.9769,-79.8961,400.8,731119,3,233,161,0,0
592494,USC00447338,36.9769,-79.8961,400.8,731120,3,233,161,0,0
592599,USC00447338,36.9769,-79.8961,400.8,731121,3,233,161,0,0
592704,USC00447338,36.9769,-79.8961,400.8,731122,3,233,161,0,0
592809,USC00447338,36.9769,-79.8961,400.8,731123,3,233,161,0,0
592918,USC00447338,36.9769,-79.8961,400.8,731124,0,278,117,0,0
593027,USC00447338,36.9769,-79.8961,400.8,731125,0,278,117,0,0
593136,USC00447338,36.9769,-79.8961,400.8,731126,0,278,117,0,0
593245,USC00447338,36.9769,-79.8961,400.8,731127,0,278,117,0,0
593354,USC00447338,36.9769,-79.8961,400.8,731128,0,278,117,0,0
593463,USC00447338,36.9769,-79.8961,400.8,731129,0,278,117,0,0
593572,USC00447338,36.9769,-79.8961,400.8,731130,0,278,117,0,0
593681,USC00447338,36.9769,-79.8961,400.8,731131,0,278,117,0,0
593790,USC00447338,36.9769,-79.8961,400.8,731132,0,278,117,0,0
593899,USC00447338,36.9769,-79.8961,400.8,731133,0,278,117,0,0
594008,USC00447338,36.9769,-79.8961,400.8,731134,0,278,117,0,0
594117,USC00447338,36.9769,-79.8961,400.8,731135,0,278,117,0,0
594226,USC00447338,36.9769,-79.8961,400.8,731136,0,278,117,0,0
594335,USC00447338,36.9769,-79.8961,400.8,731137,0,278,117,0,0
594444,USC00447338,36.9769,-79.8961,400.8,731138,0,278,117,0,0
594553,USC00447338,36.9769,-79.8961,400.8,731139,0,278,117,0,0
594662,USC00447338,36.9769,-79.8961,400.8,731140,0,278,117,0,0
594771,USC00447338,36.9769,-79.8961,400.8,731141,0,278,117,0,0
594880,USC00447338,36.9769,-79.8961,400.8,731142,0,278,117,0,0
594989,USC00447338,36.9769,-79.8961,400.8,731143,0,278,117,0,0
595098,USC00447338,36.9769,-79.8961,400.8,731144,0,278,117,0,0
595207,USC00447338,36.9769,-79.8961,400.8,731145,0,278,117,0,0
595316,USC00447338,36.9769,-79.8961,400.8,731146,0,278,117,0,0
595425,USC00447338,36.9769,-79.8961,400.8,731147,0,278,117,0,0
595534,USC00447338,36.9769,-79.8961,400.8,731148,0,278,117,0,0
595643,USC00447338,36.9769,-79.8961,400.8,731149,0,278,117,0,0
595752,USC00447338,36.9769,-79.8961,400.8,731150,0,278,117,0,0
595861,USC00447338,36.9769,-79.8961,400.8,731151,0,278,117,0,0
595970,USC00447338,36.9769,-79.8961,400.8,731152,0,278,117,0,0
596079,USC00447338,36.9769,-79.8961,400.8,731153,0,278,117,0,0
596188,USC00447338,36.9769,-79.8961,400.8,731154,0,278,117,0,0
596296,USC00447338,36.9769,-79.8961,400.8,731155,0,100,39,0,0
596404,USC00447338,36.9769,-79.8961,400.8,731156,0,100,39,0,0
596512,USC00447338,36.9769,-79.8961,400.8,731157,0,100,39,0,0
596620,USC00447338,36.9769,-79.8961,400.8,731158,0,100,39,0,0
596728,USC00447338,36.9769,-79.8961,400.8,731159,0,100,39,0,0
596836,USC00447338,36.9769,-79.8961,400.8,731160,0,100,39,0,0
596944,USC00447338,36.9769,-79.8961,400.8,731161,0,100,39,0,0
597052,USC00447338,36.9769,-79.8961,400.8,731162,0,100,39,0,0
597160,USC00447338,36.9769,-79.8961,400.8,731163,0,100,39,0,0
597268,USC00447338,36.9769,-79.8961,400.8,731164,0,100,39,0,0
597376,USC00447338,36.9769,-79.8961,400.8,731165,0,100,39,0,0
597484,USC00447338,36.9769,-79.8961,400.8,731166,0,100,39,0,0
597592,USC00447338,36.9769,-79.8961,400.8,731167,0,100,39,0,0
597700,USC00447338,36.9769,-79.8961,400.8,731168,0,100,39,0,0
597808,USC00447338,36.9769,-79.8961,400.8,731169,0,100,39,0,0
597916,USC00447338,36.9769,-79.8961,400.8,731170,0,100,39,0,0
598024,USC00447338,36.9769,-79.8961,400.8,731171,0,100,39,0,0
598132,USC00447338,36.9769,-79.8961,400.8,731172,0,100,39,0,0
598240,USC00447338,36.9769,-79.8961,400.8,731173,0,100,39,0,0
598348,USC00447338,36.9769,-79.8961,400.8,731174,0,100,39,0,0
598456,USC00447338,36.9769,-79.8961,400.8,731175,0,100,39,0,0
598564,USC00447338,36.9769,-79.8961,400.8,731176,0,100,39,0,0
598672,USC00447338,36.9769,-79.8961,400.8,731177,0,100,39,0,0
598780,USC00447338,36.9769,-79.8961,400.8,731178,0,100,39,0,0
598888,USC00447338,36.9769,-79.8961,400.8,731179,0,100,39,0,0
598996,USC00447338,36.9769,-79.8961,400.8,731180,0,100,39,0,0
599104,USC00447338,36.9769,-79.8961,400.8,731181,0,100,39,0,0
599212,USC00447338,36.9769,-79.8961,400.8,731182,0,100,39,0,0
599320,USC00447338,36.9769,-79.8961,400.8,731183,0,100,39,0,0
599428,USC00447338,36.9769,-79.8961,400.8,731184,0,100,39,0,0
599533,USC00447338,36.9769,-79.8961,400.8,731185,0,33,-28,0,0
